race_key,date,jo_code,jo_name,race_no,car_no,line_no,line_position,is_seri
20260801_いわき平_10R,20260801,13,いわき平,10,1,3,1,0
20260801_いわき平_10R,20260801,13,いわき平,10,2,1,1,0
20260801_いわき平_10R,20260801,13,いわき平,10,3,2,1,0
20260801_いわき平_10R,20260801,13,いわき平,10,4,1,2,0
20260801_いわき平_10R,20260801,13,いわき平,10,5,2,2,0
20260801_いわき平_10R,20260801,13,いわき平,10,6,5,1,0
20260801_いわき平_10R,20260801,13,いわき平,10,7,4,1,0
20260801_いわき平_10R,20260801,13,いわき平,10,8,,,0
20260801_いわき平_10R,20260801,13,いわき平,10,9,,,0
20260801_いわき平_11R,20260801,13,いわき平,11,1,1,2,0
20260801_いわき平_11R,20260801,13,いわき平,11,2,2,2,0
20260801_いわき平_11R,20260801,13,いわき平,11,3,3,1,0
20260801_いわき平_11R,20260801,13,いわき平,11,4,4,1,0
20260801_いわき平_11R,20260801,13,いわき平,11,5,3,2,0
20260801_いわき平_11R,20260801,13,いわき平,11,6,2,1,0
20260801_いわき平_11R,20260801,13,いわき平,11,7,1,1,0
20260801_いわき平_11R,20260801,13,いわき平,11,8,,,0
20260801_いわき平_11R,20260801,13,いわき平,11,9,,,0
20260801_いわき平_12R,20260801,13,いわき平,12,1,1,1,0
20260801_いわき平_12R,20260801,13,いわき平,12,2,2,2,0
20260801_いわき平_12R,20260801,13,いわき平,12,3,3,1,0
20260801_いわき平_12R,20260801,13,いわき平,12,4,1,2,0
20260801_いわき平_12R,20260801,13,いわき平,12,5,2,1,0
20260801_いわき平_12R,20260801,13,いわき平,12,6,1,3,0
20260801_いわき平_12R,20260801,13,いわき平,12,7,3,2,0
20260801_いわき平_12R,20260801,13,いわき平,12,8,,,0
20260801_いわき平_12R,20260801,13,いわき平,12,9,,,0
20260801_いわき平_1R,20260801,13,いわき平,1,1,1,2,0
20260801_いわき平_1R,20260801,13,いわき平,1,2,2,2,0
20260801_いわき平_1R,20260801,13,いわき平,1,3,2,3,0
20260801_いわき平_1R,20260801,13,いわき平,1,4,1,3,0
20260801_いわき平_1R,20260801,13,いわき平,1,5,2,1,0
20260801_いわき平_1R,20260801,13,いわき平,1,6,1,4,0
20260801_いわき平_1R,20260801,13,いわき平,1,7,1,1,0
20260801_いわき平_1R,20260801,13,いわき平,1,8,,,0
20260801_いわき平_1R,20260801,13,いわき平,1,9,,,0
20260801_いわき平_2R,20260801,13,いわき平,2,1,1,1,0
20260801_いわき平_2R,20260801,13,いわき平,2,2,2,1,0
20260801_いわき平_2R,20260801,13,いわき平,2,3,3,2,0
20260801_いわき平_2R,20260801,13,いわき平,2,4,3,3,0
20260801_いわき平_2R,20260801,13,いわき平,2,5,3,1,0
20260801_いわき平_2R,20260801,13,いわき平,2,6,2,2,0
20260801_いわき平_2R,20260801,13,いわき平,2,7,1,2,0
20260801_いわき平_2R,20260801,13,いわき平,2,8,,,0
20260801_いわき平_2R,20260801,13,いわき平,2,9,,,0
20260801_いわき平_3R,20260801,13,いわき平,3,1,1,1,0
20260801_いわき平_3R,20260801,13,いわき平,3,2,2,2,0
20260801_いわき平_3R,20260801,13,いわき平,3,3,1,3,0
20260801_いわき平_3R,20260801,13,いわき平,3,4,2,1,0
20260801_いわき平_3R,20260801,13,いわき平,3,5,1,2,0
20260801_いわき平_3R,20260801,13,いわき平,3,6,3,1,0
20260801_いわき平_3R,20260801,13,いわき平,3,7,2,3,0
20260801_いわき平_3R,20260801,13,いわき平,3,8,,,0
20260801_いわき平_3R,20260801,13,いわき平,3,9,,,0
20260801_いわき平_4R,20260801,13,いわき平,4,1,1,2,0
20260801_いわき平_4R,20260801,13,いわき平,4,2,2,3,0
20260801_いわき平_4R,20260801,13,いわき平,4,3,3,1,0
20260801_いわき平_4R,20260801,13,いわき平,4,4,2,1,0
20260801_いわき平_4R,20260801,13,いわき平,4,5,3,2,0
20260801_いわき平_4R,20260801,13,いわき平,4,6,1,1,0
20260801_いわき平_4R,20260801,13,いわき平,4,7,2,2,0
20260801_いわき平_4R,20260801,13,いわき平,4,8,,,0
20260801_いわき平_4R,20260801,13,いわき平,4,9,,,0
20260801_いわき平_5R,20260801,13,いわき平,5,1,1,2,0
20260801_いわき平_5R,20260801,13,いわき平,5,2,2,1,0
20260801_いわき平_5R,20260801,13,いわき平,5,3,3,1,0
20260801_いわき平_5R,20260801,13,いわき平,5,4,1,1,0
20260801_いわき平_5R,20260801,13,いわき平,5,5,3,3,0
20260801_いわき平_5R,20260801,13,いわき平,5,6,1,3,0
20260801_いわき平_5R,20260801,13,いわき平,5,7,3,2,0
20260801_いわき平_5R,20260801,13,いわき平,5,8,,,0
20260801_いわき平_5R,20260801,13,いわき平,5,9,,,0
20260801_いわき平_6R,20260801,13,いわき平,6,1,1,2,0
