race_key,date,jo_code,jo_name,race_no,car_no,line_no,line_position,is_seri
20260716_いわき平_1R,20260716,13,いわき平,1,1,2,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,2,4,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,3,3,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,4,6,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,5,7,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,6,5,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,7,1,1,0
20260716_いわき平_1R,20260716,13,いわき平,1,8,,,0
20260716_いわき平_1R,20260716,13,いわき平,1,9,,,0
20260716_いわき平_2R,20260716,13,いわき平,2,1,3,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,2,5,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,3,1,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,4,4,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,5,2,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,6,6,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,7,7,1,0
20260716_いわき平_2R,20260716,13,いわき平,2,8,,,0
20260716_いわき平_2R,20260716,13,いわき平,2,9,,,0
20260716_いわき平_3R,20260716,13,いわき平,3,1,1,2,0
20260716_いわき平_3R,20260716,13,いわき平,3,2,2,1,0
20260716_いわき平_3R,20260716,13,いわき平,3,3,1,1,0
20260716_いわき平_3R,20260716,13,いわき平,3,4,2,2,0
20260716_いわき平_3R,20260716,13,いわき平,3,5,3,1,0
20260716_いわき平_3R,20260716,13,いわき平,3,6,3,2,0
20260716_いわき平_3R,20260716,13,いわき平,3,7,1,3,0
20260716_いわき平_3R,20260716,13,いわき平,3,8,,,0
20260716_いわき平_3R,20260716,13,いわき平,3,9,,,0
20260716_いわき平_4R,20260716,13,いわき平,4,1,1,1,0
20260716_いわき平_4R,20260716,13,いわき平,4,2,2,1,0
20260716_いわき平_4R,20260716,13,いわき平,4,3,1,2,0
20260716_いわき平_4R,20260716,13,いわき平,4,4,3,1,0
20260716_いわき平_4R,20260716,13,いわき平,4,5,4,1,0
20260716_いわき平_4R,20260716,13,いわき平,4,6,2,2,0
20260716_いわき平_4R,20260716,13,いわき平,4,7,3,2,0
20260716_いわき平_4R,20260716,13,いわき平,4,8,,,0
20260716_いわき平_4R,20260716,13,いわき平,4,9,,,0
20260716_いわき平_5R,20260716,13,いわき平,5,1,1,2,0
20260716_いわき平_5R,20260716,13,いわき平,5,2,2,1,0
20260716_いわき平_5R,20260716,13,いわき平,5,3,1,1,0
20260716_いわき平_5R,20260716,13,いわき平,5,4,2,2,0
20260716_いわき平_5R,20260716,13,いわき平,5,5,3,2,0
20260716_いわき平_5R,20260716,13,いわき平,5,6,3,3,0
20260716_いわき平_5R,20260716,13,いわき平,5,7,3,1,0
20260716_いわき平_5R,20260716,13,いわき平,5,8,,,0
20260716_いわき平_5R,20260716,13,いわき平,5,9,,,0
20260716_いわき平_6R,20260716,13,いわき平,6,1,1,1,0
20260716_いわき平_6R,20260716,13,いわき平,6,2,1,2,0
20260716_いわき平_6R,20260716,13,いわき平,6,3,2,1,0
20260716_いわき平_6R,20260716,13,いわき平,6,4,2,2,0
20260716_いわき平_6R,20260716,13,いわき平,6,5,1,3,0
20260716_いわき平_6R,20260716,13,いわき平,6,6,3,1,0
20260716_いわき平_6R,20260716,13,いわき平,6,7,3,2,0
20260716_いわき平_6R,20260716,13,いわき平,6,8,,,0
20260716_いわき平_6R,20260716,13,いわき平,6,9,,,0
20260716_いわき平_7R,20260716,13,いわき平,7,1,1,1,0
20260716_いわき平_7R,20260716,13,いわき平,7,2,1,2,0
20260716_いわき平_7R,20260716,13,いわき平,7,3,2,2,0
20260716_いわき平_7R,20260716,13,いわき平,7,4,3,1,0
20260716_いわき平_7R,20260716,13,いわき平,7,5,3,2,0
20260716_いわき平_7R,20260716,13,いわき平,7,6,2,1,0
20260716_いわき平_7R,20260716,13,いわき平,7,7,1,3,0
20260716_いわき平_7R,20260716,13,いわき平,7,8,,,0
20260716_いわき平_7R,20260716,13,いわき平,7,9,,,0
20260716_いわき平_8R,20260716,13,いわき平,8,1,1,1,0
20260716_いわき平_8R,20260716,13,いわき平,8,2,2,1,0
20260716_いわき平_8R,20260716,13,いわき平,8,3,1,2,0
20260716_いわき平_8R,20260716,13,いわき平,8,4,2,2,0
20260716_いわき平_8R,20260716,13,いわき平,8,5,3,2,0
20260716_いわき平_8R,20260716,13,いわき平,8,6,1,3,0
20260716_いわき平_8R,20260716,13,いわき平,8,7,3,1,0
20260716_いわき平_8R,20260716,13,いわき平,8,8,,,0
20260716_いわき平_8R,20260716,13,いわき平,8,9,,,0
20260716_いわき平_9R,20260716,13,いわき平,9,1,1,2,0
20260716_いわき平_9R,20260716,13,いわき平,9,2,2,1,0
20260716_いわき平_9R,20260716,13,いわき平,9,3,3,1,0
20260716_いわき平_9R,20260716,13,いわき平,9,4,4,2,0
20260716_いわき平_9R,20260716,13,いわき平,9,5,4,1,0
20260716_いわき平_9R,20260716,13,いわき平,9,6,1,1,0
20260716_いわき平_9R,20260716,13,いわき平,9,7,3,2,0
20260716_いわき平_9R,20260716,13,いわき平,9,8,,,0
20260716_いわき平_9R,20260716,13,いわき平,9,9,,,0
20260716_函館_10R,20260716,11,函館,10,1,4,1,0
20260716_函館_10R,20260716,11,函館,10,2,2,2,0
20260716_函館_10R,20260716,11,函館,10,3,1,1,0
20260716_函館_10R,20260716,11,函館,10,4,5,1,0
20260716_函館_10R,20260716,11,函館,10,5,3,1,0
20260716_函館_10R,20260716,11,函館,10,6,2,1,0
20260716_函館_10R,20260716,11,函館,10,7,1,2,0
20260716_函館_10R,20260716,11,函館,10,8,,,0
20260716_函館_10R,20260716,11,函館,10,9,,,0
20260716_函館_11R,20260716,11,函館,11,1,6,1,0
20260716_函館_11R,20260716,11,函館,11,2,1,1,0
20260716_函館_11R,20260716,11,函館,11,3,2,1,0
20260716_函館_11R,20260716,11,函館,11,4,3,1,0
20260716_函館_11R,20260716,11,函館,11,5,7,1,0
20260716_函館_11R,20260716,11,函館,11,6,5,1,0
20260716_函館_11R,20260716,11,函館,11,7,4,1,0
20260716_函館_11R,20260716,11,函館,11,8,,,0
20260716_函館_11R,20260716,11,函館,11,9,,,0
20260716_函館_12R,20260716,11,函館,12,1,1,2,0
20260716_函館_12R,20260716,11,函館,12,2,4,1,0
20260716_函館_12R,20260716,11,函館,12,3,3,1,0
20260716_函館_12R,20260716,11,函館,12,4,2,1,0
20260716_函館_12R,20260716,11,函館,12,5,2,2,0
20260716_函館_12R,20260716,11,函館,12,6,3,2,0
20260716_函館_12R,20260716,11,函館,12,7,1,1,0
20260716_函館_12R,20260716,11,函館,12,8,,,0
20260716_函館_12R,20260716,11,函館,12,9,,,0
20260716_函館_1R,20260716,11,函館,1,1,4,1,0
20260716_函館_1R,20260716,11,函館,1,2,1,1,0
20260716_函館_1R,20260716,11,函館,1,3,6,1,0
20260716_函館_1R,20260716,11,函館,1,4,2,1,0
20260716_函館_1R,20260716,11,函館,1,5,5,1,0
20260716_函館_1R,20260716,11,函館,1,6,7,1,0
20260716_函館_1R,20260716,11,函館,1,7,3,1,0
20260716_函館_1R,20260716,11,函館,1,8,,,0
20260716_函館_1R,20260716,11,函館,1,9,,,0
20260716_函館_2R,20260716,11,函館,2,1,1,3,0
20260716_函館_2R,20260716,11,函館,2,2,2,1,0
20260716_函館_2R,20260716,11,函館,2,3,4,1,0
20260716_函館_2R,20260716,11,函館,2,4,1,2,0
20260716_函館_2R,20260716,11,函館,2,5,3,1,0
20260716_函館_2R,20260716,11,函館,2,6,5,1,0
20260716_函館_2R,20260716,11,函館,2,7,1,1,0
20260716_函館_2R,20260716,11,函館,2,8,,,0
20260716_函館_2R,20260716,11,函館,2,9,,,0
20260716_函館_3R,20260716,11,函館,3,1,3,3,0
20260716_函館_3R,20260716,11,函館,3,2,1,2,0
20260716_函館_3R,20260716,11,函館,3,3,2,1,0
20260716_函館_3R,20260716,11,函館,3,4,3,2,0
20260716_函館_3R,20260716,11,函館,3,5,2,2,0
20260716_函館_3R,20260716,11,函館,3,6,1,1,0
20260716_函館_3R,20260716,11,函館,3,7,3,1,0
20260716_函館_3R,20260716,11,函館,3,8,,,0
20260716_函館_3R,20260716,11,函館,3,9,,,0
20260716_函館_4R,20260716,11,函館,4,1,3,2,0
20260716_函館_4R,20260716,11,函館,4,2,1,2,0
20260716_函館_4R,20260716,11,函館,4,3,2,2,0
20260716_函館_4R,20260716,11,函館,4,4,3,3,0
20260716_函館_4R,20260716,11,函館,4,5,2,1,0
20260716_函館_4R,20260716,11,函館,4,6,3,1,0
20260716_函館_4R,20260716,11,函館,4,7,1,1,0
20260716_函館_4R,20260716,11,函館,4,8,,,0
20260716_函館_4R,20260716,11,函館,4,9,,,0
20260716_函館_5R,20260716,11,函館,5,1,3,1,0
20260716_函館_5R,20260716,11,函館,5,2,2,1,0
20260716_函館_5R,20260716,11,函館,5,3,1,1,0
20260716_函館_5R,20260716,11,函館,5,4,6,1,0
20260716_函館_5R,20260716,11,函館,5,5,5,1,0
